epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,7143.45,0.86634,0.88984,1.178,0.47648,0.32222,0.37709,0.17688,1.96975,2.9511,2.41802,0.000825029,0.000825029,0.000825029
28,7407.01,0.84195,0.91095,1.18492,0.73516,0.32222,0.33966,0.15034,2.10083,3.37197,2.67128,0.00081403,0.00081403,0.00081403
29,7669.87,0.84716,0.91639,1.18791,0.56159,0.28758,0.36216,0.15686,2.07381,2.43495,2.63356,0.000803031,0.000803031,0.000803031
30,7934.22,0.83592,0.93915,1.16748,0.66631,0.24212,0.25546,0.14267,2.04682,2.98388,2.51387,0.000792032,0.000792032,0.000792032
31,8197.47,0.80846,0.85577,1.13864,0.35079,0.25556,0.27554,0.11371,1.93351,2.98497,2.41021,0.000781033,0.000781033,0.000781033
32,8462.01,0.74481,0.8191,1.08618,0.47039,0.26025,0.31297,0.14291,1.94194,3.72852,2.25926,0.000770034,0.000770034,0.000770034
33,8725.09,0.77802,0.8031,1.13094,0.40742,0.3963,0.4046,0.17369,2.04961,3.21286,2.71809,0.000759035,0.000759035,0.000759035
34,8989.12,0.76563,0.80547,1.11495,0.66629,0.35926,0.32233,0.22461,1.90647,3.16597,2.44232,0.000748036,0.000748036,0.000748036
35,9251.71,0.77604,0.83451,1.13052,0.3901,0.32222,0.36533,0.19596,2.12253,2.96601,2.78099,0.000737037,0.000737037,0.000737037
36,9515.09,0.80056,0.8104,1.15845,0.73051,0.29888,0.32157,0.21229,1.77822,3.51994,2.14343,0.000726038,0.000726038,0.000726038
37,9779.7,0.7444,0.77172,1.09876,0.69314,0.21852,0.28696,0.13663,2.20694,3.7218,2.71417,0.00071504,0.00071504,0.00071504
38,10043.2,0.73388,0.7381,1.09633,0.31117,0.29259,0.28859,0.15229,1.89796,3.65409,2.34582,0.000704041,0.000704041,0.000704041
39,10306.7,0.75267,0.75597,1.11449,0.42897,0.37593,0.34062,0.1925,2.05717,2.83303,2.63962,0.000693042,0.000693042,0.000693042
40,10569.7,0.70621,0.72814,1.09497,0.41887,0.39136,0.36481,0.20258,2.03237,2.91522,2.53806,0.000682043,0.000682043,0.000682043
41,10832.9,0.71761,0.73031,1.08855,0.37563,0.35741,0.33794,0.19416,2.03122,2.87479,2.56191,0.000671044,0.000671044,0.000671044
42,11096.2,0.67982,0.68739,1.06463,0.45171,0.57642,0.51181,0.30648,2.19544,2.66576,2.75349,0.000660045,0.000660045,0.000660045
43,11358.7,0.68804,0.70356,1.07337,0.3828,0.28519,0.32898,0.15133,2.29482,3.469,2.90915,0.000649046,0.000649046,0.000649046
44,11621.7,0.67746,0.68143,1.06423,0.35924,0.24486,0.29249,0.15848,1.92898,3.47379,2.5219,0.000638047,0.000638047,0.000638047
45,11884.7,0.65206,0.65504,1.05459,0.33628,0.27407,0.27524,0.15003,2.24638,3.44693,2.9096,0.000627048,0.000627048,0.000627048
46,12149.1,0.66903,0.66837,1.05984,0.25317,0.25556,0.24187,0.0941,2.30231,3.46417,2.77574,0.000616049,0.000616049,0.000616049
47,12411.5,0.64945,0.62912,1.0457,0.27367,0.35629,0.2747,0.20329,1.86137,3.43799,2.32845,0.000605051,0.000605051,0.000605051
48,12675.5,0.63568,0.60966,1.02994,0.76832,0.21852,0.31075,0.21361,1.81788,3.22176,2.43471,0.000594052,0.000594052,0.000594052
49,12938.1,0.64281,0.65345,1.05171,0.77948,0.25556,0.26952,0.16257,1.98737,3.52456,2.54993,0.000583053,0.000583053,0.000583053
50,13201.9,0.63902,0.6026,1.04811,0.62991,0.41481,0.3253,0.14132,2.01348,3.34199,2.57605,0.000572054,0.000572054,0.000572054
51,13464.6,0.65849,0.64155,1.06677,0.82803,0.34074,0.37831,0.21347,1.93771,3.0079,2.55909,0.000561055,0.000561055,0.000561055
52,13728.2,0.60309,0.59998,1.03375,0.41475,0.32037,0.40203,0.29779,2.07535,3.00599,2.61749,0.000550056,0.000550056,0.000550056
53,13990.7,0.62485,0.61892,1.03336,0.74876,0.32963,0.32028,0.19428,2.05987,3.16817,2.61931,0.000539057,0.000539057,0.000539057
54,14253.6,0.63752,0.61918,1.05563,0.70258,0.37308,0.36713,0.22945,1.93918,2.96596,2.59238,0.000528058,0.000528058,0.000528058
55,14517.2,0.62284,0.603,1.03817,0.67506,0.30763,0.31431,0.15349,2.08603,3.36923,2.5454,0.000517059,0.000517059,0.000517059
56,14780.8,0.60478,0.58015,1.01517,0.71621,0.27407,0.27406,0.13635,2.09357,3.59248,2.62207,0.00050606,0.00050606,0.00050606
57,15044.4,0.58783,0.57386,1.02541,0.33665,0.32963,0.29998,0.20582,2.02671,3.21441,2.57869,0.000495062,0.000495062,0.000495062
58,15307.9,0.57197,0.53726,1.00762,0.81793,0.29134,0.33264,0.192,2.21578,3.19566,2.85955,0.000484063,0.000484063,0.000484063
59,15572.2,0.56905,0.55127,1.00762,0.42271,0.34074,0.3239,0.16627,2.08562,3.49588,2.69304,0.000473064,0.000473064,0.000473064
60,15836.8,0.55325,0.5422,0.98277,0.39618,0.30699,0.32346,0.17975,1.99669,3.53314,2.64976,0.000462065,0.000462065,0.000462065
61,16099.4,0.56712,0.5724,1.00694,0.39575,0.37778,0.34178,0.18568,2.08761,3.47018,2.68493,0.000451066,0.000451066,0.000451066
62,16362.8,0.56434,0.55033,1.00047,0.73314,0.29768,0.2896,0.15944,2.23384,3.50068,2.93685,0.000440067,0.000440067,0.000440067
63,16625.6,0.56422,0.53304,1.00162,0.71403,0.22642,0.25162,0.14644,2.39059,3.69673,2.89725,0.000429068,0.000429068,0.000429068
64,16889.8,0.56329,0.5373,1.01828,0.33522,0.29259,0.26114,0.18261,2.26885,3.61248,2.89596,0.000418069,0.000418069,0.000418069
65,17152.9,0.56239,0.51428,1.0265,0.81829,0.24766,0.2657,0.16085,2.23984,3.10089,2.94678,0.00040707,0.00040707,0.00040707
66,17416.9,0.53184,0.50722,1.003,0.28596,0.31111,0.23191,0.1131,2.33212,3.77862,3.00792,0.000396071,0.000396071,0.000396071
67,17679.3,0.50398,0.48035,0.97766,0.73492,0.26652,0.25722,0.15085,2.14105,3.46855,2.88785,0.000385073,0.000385073,0.000385073
68,17943,0.52247,0.48397,0.9762,0.3656,0.30889,0.34208,0.17976,2.2857,3.50785,2.87316,0.000374074,0.000374074,0.000374074
69,18205.9,0.52996,0.4918,0.99528,0.52714,0.34913,0.36877,0.20182,2.15178,3.89176,2.65526,0.000363075,0.000363075,0.000363075
70,18469,0.5185,0.50392,0.9943,0.76512,0.35926,0.35306,0.19856,2.12862,3.5153,2.70377,0.000352076,0.000352076,0.000352076
71,18732.5,0.51788,0.47443,0.9907,0.73821,0.34074,0.33925,0.19266,2.21651,3.5697,2.8215,0.000341077,0.000341077,0.000341077
72,18995.6,0.49878,0.46708,0.97979,0.85227,0.24455,0.33615,0.17931,2.19037,3.58728,2.86103,0.000330078,0.000330078,0.000330078
73,19259.4,0.49198,0.47837,0.96081,0.8078,0.25556,0.37858,0.20651,2.08013,3.55562,2.56999,0.000319079,0.000319079,0.000319079
74,19522.3,0.49,0.44475,0.9649,0.81046,0.2546,0.32486,0.17474,2.21818,3.39351,2.78751,0.00030808,0.00030808,0.00030808
75,19785.6,0.47586,0.4456,0.97609,0.37317,0.35926,0.3401,0.17697,2.06666,3.45322,2.66408,0.000297081,0.000297081,0.000297081
76,20048.8,0.48367,0.43938,0.9646,0.84253,0.29259,0.34567,0.20452,2.12872,2.99615,2.73676,0.000286083,0.000286083,0.000286083
77,20311.6,0.48117,0.44717,0.96558,0.83645,0.29055,0.33884,0.18908,2.22588,3.22774,2.85128,0.000275084,0.000275084,0.000275084
78,20574.6,0.49825,0.46968,0.97992,0.40934,0.32497,0.32401,0.17637,2.28873,3.21339,2.89979,0.000264085,0.000264085,0.000264085
79,20837.5,0.49352,0.44982,0.97431,0.36212,0.29092,0.34178,0.20363,2.2575,2.98861,2.95481,0.000253086,0.000253086,0.000253086
80,21101.1,0.46871,0.42552,0.95569,0.32856,0.34074,0.33572,0.17395,2.27366,3.34818,2.89164,0.000242087,0.000242087,0.000242087
81,21363,0.46654,0.42951,0.96266,0.42771,0.3963,0.39979,0.18925,2.22921,3.17461,2.89141,0.000231088,0.000231088,0.000231088
82,21626.6,0.43159,0.39424,0.94546,0.80585,0.30247,0.33303,0.19507,2.12972,2.98293,2.87243,0.000220089,0.000220089,0.000220089
83,21889,0.46745,0.42573,0.96877,0.81652,0.31111,0.36196,0.16977,2.19959,3.35237,2.85978,0.00020909,0.00020909,0.00020909
84,22152.3,0.44958,0.39536,0.95123,0.36333,0.29259,0.27669,0.16848,2.11433,3.57584,2.81624,0.000198091,0.000198091,0.000198091
85,22414.6,0.43163,0.41136,0.95445,0.76702,0.23704,0.28411,0.17414,2.01568,3.60363,2.72343,0.000187092,0.000187092,0.000187092
86,22677.3,0.43597,0.38625,0.95531,0.38449,0.31111,0.31194,0.17111,2.10929,3.22492,2.89772,0.000176094,0.000176094,0.000176094
87,22942,0.42015,0.38404,0.94083,0.44428,0.31111,0.34847,0.19359,2.18099,3.13447,3.02716,0.000165095,0.000165095,0.000165095
88,23204.5,0.41825,0.38079,0.93633,0.43722,0.30994,0.35424,0.21387,2.24171,3.1661,3.10911,0.000154096,0.000154096,0.000154096
89,23466.8,0.42501,0.40014,0.94413,0.83083,0.29147,0.34362,0.21885,2.12439,3.3136,2.89981,0.000143097,0.000143097,0.000143097
90,23729.3,0.42141,0.40162,0.94351,0.74667,0.29259,0.31322,0.21104,2.09742,3.27732,2.79701,0.000132098,0.000132098,0.000132098
91,23991,0.31772,0.29462,0.86759,0.39877,0.29259,0.30709,0.20273,2.12333,3.17901,2.80981,0.000121099,0.000121099,0.000121099
92,24252.6,0.32661,0.29135,0.8779,0.44034,0.37778,0.35152,0.22398,1.99474,3.28173,2.58647,0.0001101,0.0001101,0.0001101
93,24513.8,0.31589,0.28898,0.85561,0.83862,0.33785,0.36804,0.21463,2.06699,2.93105,2.71358,9.91012e-05,9.91012e-05,9.91012e-05
94,24776.1,0.30372,0.28671,0.87019,0.84462,0.34074,0.368,0.21147,2.03323,2.97347,2.68819,8.81023e-05,8.81023e-05,8.81023e-05
95,25036.8,0.30243,0.28752,0.85668,0.83189,0.34074,0.36549,0.24263,2.03664,3.12376,2.75415,7.71034e-05,7.71034e-05,7.71034e-05
96,25298.9,0.28326,0.26765,0.84162,0.74458,0.34197,0.34912,0.23822,2.11769,3.09686,2.87977,6.61045e-05,6.61045e-05,6.61045e-05
97,25559.8,0.29018,0.27307,0.85087,0.81064,0.34349,0.36561,0.25531,2.11671,3.02648,2.8949,5.51056e-05,5.51056e-05,5.51056e-05
98,25822,0.28113,0.26017,0.84048,0.79116,0.35641,0.37048,0.2607,2.12668,3.05727,2.9135,4.41067e-05,4.41067e-05,4.41067e-05
99,26082.9,0.27972,0.26315,0.85872,0.85055,0.35309,0.3746,0.22677,2.16084,3.1385,2.90914,3.31078e-05,3.31078e-05,3.31078e-05
100,26344.9,0.27554,0.25785,0.84571,0.82998,0.35319,0.3707,0.23098,2.17157,3.0694,2.94278,2.21089e-05,2.21089e-05,2.21089e-05
